Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,annual_frequency,promo_dependency,purchase_scaled,previous_scaled,frequency_scaled,review_scaled,loyalty_score,value_tier
1,55,Male,Blouse,Clothing,53,Kentucky,L,Gray,Winter,3.1,Yes,Express,1,1,14,Venmo,Fortnightly,26,1.0,0.4125000000000001,0.26530612244897955,0.49019607843137253,0.2400000000000002,0.3596812725090036,Low Value
2,19,Male,Sweater,Clothing,64,Maine,L,Maroon,Winter,3.1,Yes,Express,1,1,2,Cash,Fortnightly,26,1.0,0.55,0.02040816326530612,0.49019607843137253,0.2400000000000002,0.28922208883553424,Low Value
3,50,Male,Jeans,Clothing,73,Massachusetts,S,Maroon,Spring,3.1,Yes,Free Shipping,1,1,23,Credit Card,Weekly,52,1.0,0.6625000000000001,0.44897959183673464,0.9999999999999999,0.2400000000000002,0.6360918367346938,Medium Value
4,21,Male,Sandals,Footwear,90,Rhode Island,M,Maroon,Spring,3.5,Yes,Next Day Air,1,1,49,PayPal,Weekly,52,1.0,0.875,0.9795918367346937,0.9999999999999999,0.40000000000000013,0.9068367346938775,High Value
5,45,Male,Blouse,Clothing,49,Oregon,M,Turquoise,Spring,2.7,Yes,Free Shipping,1,1,31,PayPal,Annually,1,1.0,0.36250000000000004,0.6122448979591836,0.0,0.08000000000000007,0.3253979591836734,Low Value
6,46,Male,Sneakers,Footwear,20,Wyoming,M,White,Summer,2.9,Yes,Standard,1,1,14,Venmo,Weekly,52,1.0,0.0,0.26530612244897955,0.9999999999999999,0.15999999999999992,0.4221224489795918,Low Value
7,63,Male,Shirt,Clothing,85,Montana,M,Gray,Fall,3.2,Yes,Free Shipping,1,1,49,Cash,Quarterly,4,1.0,0.8125,0.9795918367346937,0.058823529411764705,0.28000000000000025,0.5999837935174069,Medium Value
8,27,Male,Shorts,Clothing,34,Louisiana,L,Charcoal,Winter,3.2,Yes,Free Shipping,1,1,19,Credit Card,Weekly,52,1.0,0.17500000000000004,0.36734693877551017,0.9999999999999999,0.28000000000000025,0.5099387755102041,Medium Value
9,26,Male,Coat,Outerwear,97,West Virginia,L,Silver,Summer,2.6,Yes,Express,1,1,8,Venmo,Annually,1,1.0,0.9625000000000001,0.14285714285714285,0.0,0.040000000000000036,0.25364285714285717,Low Value
10,57,Male,Handbag,Accessories,31,Missouri,M,Pink,Spring,4.8,Yes,2-Day Shipping,1,1,4,Cash,Quarterly,4,1.0,0.1375,0.061224489795918366,0.058823529411764705,0.9199999999999999,0.16163685474189676,Low Value
11,53,Male,Shoes,Footwear,34,Arkansas,L,Purple,Fall,4.1,Yes,Store Pickup,1,1,26,Bank Transfer,Bi-Weekly,26,1.0,0.17500000000000004,0.510204081632653,0.49019607843137253,0.6399999999999999,0.45014045618247295,Medium Value
12,30,Male,Shorts,Clothing,68,Hawaii,S,Olive,Winter,4.9,Yes,Store Pickup,1,1,10,Bank Transfer,Fortnightly,26,1.0,0.6000000000000001,0.18367346938775508,0.49019607843137253,0.9600000000000002,0.43652821128451386,Low Value
13,61,Male,Coat,Outerwear,72,Delaware,M,Gold,Winter,4.5,Yes,Express,1,1,37,Venmo,Fortnightly,26,1.0,0.65,0.7346938775510203,0.49019607843137253,0.8,0.65093637454982,Medium Value
14,65,Male,Dress,Clothing,51,New Hampshire,M,Violet,Spring,4.7,Yes,Express,1,1,31,PayPal,Weekly,52,1.0,0.38750000000000007,0.6122448979591836,0.9999999999999999,0.8800000000000001,0.7103979591836733,Medium Value
