Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,annual_frequency,promo_dependency,purchase_scaled,previous_scaled,frequency_scaled,review_scaled,loyalty_score,value_tier
1.0,55.0,Male,Blouse,Clothing,53.0,Kentucky,L,Gray,Winter,3.1,Yes,Express,1.0,1.0,14.0,Venmo,Fortnightly,26.0,1.0,0.4125000000000001,0.26530612244897955,0.49019607843137253,0.2400000000000002,0.3596812725090036,Low Value
2.0,19.0,Male,Sweater,Clothing,64.0,Maine,L,Maroon,Winter,3.1,Yes,Express,1.0,1.0,2.0,Cash,Fortnightly,26.0,1.0,0.55,0.02040816326530612,0.49019607843137253,0.2400000000000002,0.28922208883553424,Low Value
3.0,50.0,Male,Jeans,Clothing,73.0,Massachusetts,S,Maroon,Spring,3.1,Yes,Free Shipping,1.0,1.0,23.0,Credit Card,Weekly,52.0,1.0,0.6625000000000001,0.44897959183673464,0.9999999999999999,0.2400000000000002,0.6360918367346938,Medium Value
4.0,21.0,Male,Sandals,Footwear,90.0,Rhode Island,M,Maroon,Spring,3.5,Yes,Next Day Air,1.0,1.0,49.0,PayPal,Weekly,52.0,1.0,0.875,0.9795918367346937,0.9999999999999999,0.40000000000000013,0.9068367346938775,High Value
5.0,45.0,Male,Blouse,Clothing,49.0,Oregon,M,Turquoise,Spring,2.7,Yes,Free Shipping,1.0,1.0,31.0,PayPal,Annually,1.0,1.0,0.36250000000000004,0.6122448979591836,0.0,0.08000000000000007,0.3253979591836734,Low Value
6.0,46.0,Male,Sneakers,Footwear,20.0,Wyoming,M,White,Summer,2.9,Yes,Standard,1.0,1.0,14.0,Venmo,Weekly,52.0,1.0,0.0,0.26530612244897955,0.9999999999999999,0.15999999999999992,0.4221224489795918,Low Value
7.0,63.0,Male,Shirt,Clothing,85.0,Montana,M,Gray,Fall,3.2,Yes,Free Shipping,1.0,1.0,49.0,Cash,Quarterly,4.0,1.0,0.8125,0.9795918367346937,0.058823529411764705,0.28000000000000025,0.5999837935174069,Medium Value
8.0,27.0,Male,Shorts,Clothing,34.0,Louisiana,L,Charcoal,Winter,3.2,Yes,Free Shipping,1.0,1.0,19.0,Credit Card,Weekly,52.0,1.0,0.17500000000000004,0.36734693877551017,0.9999999999999999,0.28000000000000025,0.5099387755102041,Medium Value
9.0,26.0,Male,Coat,Outerwear,97.0,West Virginia,L,Silver,Summer,2.6,Yes,Express,1.0,1.0,8.0,Venmo,Annually,1.0,1.0,0.9625000000000001,0.14285714285714285,0.0,0.040000000000000036,0.25364285714285717,Low Value
10.0,57.0,Male,Handbag,Accessories,31.0,Missouri,M,Pink,Spring,4.8,Yes,2-Day Shipping,1.0,1.0,4.0,Cash,Quarterly,4.0,1.0,0.1375,0.061224489795918366,0.058823529411764705,0.9199999999999999,0.16163685474189676,Low Value
11.0,53.0,Male,Shoes,Footwear,34.0,Arkansas,L,Purple,Fall,4.1,Yes,Store Pickup,1.0,1.0,26.0,Bank Transfer,Bi-Weekly,,1.0,0.17500000000000004,0.510204081632653,,0.6399999999999999,,Low Value
12.0,30.0,Male,Shorts,Clothing,68.0,Hawaii,S,Olive,Winter,4.9,Yes,Store Pickup,1.0,1.0,10.0,Bank Transfer,Fortnightly,26.0,1.0,0.6000000000000001,0.18367346938775508,0.49019607843137253,0.9600000000000002,0.43652821128451386,Low Value
13.0,61.0,Male,Coat,Outerwear,72.0,Delaware,M,Gold,Winter,4.5,Yes,Express,1.0,1.0,37.0,Venmo,Fortnightly,26.0,1.0,0.65,0.7346938775510203,0.49019607843137253,0.8,0.65093637454982,Medium Value
14.0,65.0,Male,Dress,Clothing,51.0,New Hampshire,M,Violet,Spring,4.7,Yes,Express,1.0,1.0,31.0,PayPal,Weekly,52.0,1.0,0.38750000000000007,0.6122448979591836,0.9999999999999999,0.8800000000000001,0.7103979591836733,Medium Value
15.0,64.0,Male,Coat,Outerwear,53.0,New York,L,Teal,Winter,4.7,Yes,Free Shipping,1.0,1.0,34.0,Debit Card,Weekly,52.0,1.0,0.4125000000000001,0.673469387755102,0.9999999999999999,0.8800000000000001,0.7398877551020409,Medium Value
16.0,64.0,Male,Skirt,Clothing,81.0,Rhode Island,M,Teal,Winter,2.8,Yes,Store Pickup,1.0,1.0,8.0,PayPal,Monthly,12.0,1.0,0.7625,0.14285714285714285,0.21568627450980393,0.11999999999999988,0.2863487394957983,Low Value
17.0,25.0,Male,Sunglasses,Accessories,36.0,Alabama,S,Gray,Spring,4.1,Yes,Next Day Air,1.0,1.0,44.0,Debit Card,Bi-Weekly,,1.0,0.2,0.8775510204081631,,0.6399999999999999,,Low Value
18.0,53.0,Male,Dress,Clothing,38.0,Mississippi,XL,Lavender,Winter,4.7,Yes,2-Day Shipping,1.0,1.0,36.0,Venmo,Quarterly,4.0,1.0,0.22500000000000003,0.7142857142857142,0.058823529411764705,0.8800000000000001,0.4363613445378151,Low Value
19.0,52.0,Male,Sweater,Clothing,48.0,Montana,S,Black,Summer,4.6,Yes,Free Shipping,1.0,1.0,17.0,Cash,Weekly,52.0,1.0,0.3500000000000001,0.32653061224489793,0.9999999999999999,0.8399999999999999,0.5846122448979592,Medium Value
20.0,66.0,Male,Pants,Clothing,90.0,Rhode Island,M,Green,Summer,3.3,Yes,Standard,1.0,1.0,46.0,Debit Card,Bi-Weekly,,1.0,0.875,0.9183673469387754,,0.32000000000000006,,Low Value
21.0,21.0,Male,Pants,Clothing,51.0,Louisiana,M,Black,Winter,2.8,Yes,Express,1.0,1.0,50.0,Cash,Every 3 Months,,1.0,0.38750000000000007,1.0,,0.11999999999999988,,Low Value
22.0,31.0,Male,Pants,Clothing,62.0,North Carolina,M,Charcoal,Winter,4.1,Yes,Store Pickup,1.0,1.0,22.0,Debit Card,Quarterly,4.0,1.0,0.525,0.4285714285714285,0.058823529411764705,0.6399999999999999,0.3580756302521008,Low Value
23.0,56.0,Male,Pants,Clothing,37.0,California,M,Peach,Summer,3.2,Yes,Store Pickup,1.0,1.0,32.0,Debit Card,Annually,1.0,1.0,0.21250000000000002,0.6326530612244897,0.0,0.28000000000000025,0.32356122448979596,Low Value
24.0,31.0,Male,Pants,Clothing,88.0,Oklahoma,XL,White,Winter,4.4,Yes,Express,1.0,1.0,40.0,Credit Card,Weekly,52.0,1.0,0.8500000000000001,0.7959183673469387,0.9999999999999999,0.7600000000000002,0.8643673469387755,High Value
25.0,18.0,Male,Jacket,Outerwear,22.0,Florida,M,Green,Fall,2.9,Yes,Store Pickup,1.0,1.0,16.0,Debit Card,Weekly,52.0,1.0,0.025000000000000022,0.3061224489795918,0.9999999999999999,0.15999999999999992,0.44344897959183666,Low Value
26.0,18.0,Male,Hoodie,Clothing,25.0,Texas,M,Silver,Summer,3.6,Yes,Express,1.0,1.0,14.0,PayPal,Annually,1.0,1.0,0.0625,0.26530612244897955,0.0,0.44000000000000017,0.16262244897959185,Low Value
27.0,38.0,Male,Jewelry,Accessories,20.0,Nevada,M,Red,Spring,3.6,Yes,Next Day Air,1.0,1.0,13.0,Credit Card,Annually,1.0,1.0,0.0,0.24489795918367344,0.0,0.44000000000000017,0.1419591836734694,Low Value
28.0,56.0,Male,Shorts,Clothing,56.0,Kentucky,L,Cyan,Summer,5.0,Yes,Next Day Air,1.0,1.0,7.0,Bank Transfer,Every 3 Months,,1.0,0.45000000000000007,0.12244897959183673,,1.0,,Low Value
29.0,54.0,Male,Handbag,Accessories,94.0,North Carolina,M,Gray,Fall,4.4,Yes,Free Shipping,1.0,1.0,41.0,PayPal,Every 3 Months,,1.0,0.925,0.8163265306122448,,0.7600000000000002,,Low Value
30.0,31.0,Male,Dress,Clothing,48.0,Wyoming,S,Black,Fall,4.1,Yes,Store Pickup,1.0,1.0,14.0,Credit Card,Weekly,52.0,1.0,0.3500000000000001,0.26530612244897955,0.9999999999999999,0.6399999999999999,0.5401224489795917,Medium Value
31.0,57.0,Male,Jewelry,Accessories,31.0,North Carolina,L,Black,Winter,4.7,Yes,Standard,1.0,1.0,16.0,Credit Card,Monthly,12.0,1.0,0.1375,0.3061224489795918,0.21568627450980393,0.8800000000000001,0.3026548619447779,Low Value
32.0,33.0,Male,Dress,Clothing,79.0,West Virginia,L,Brown,Winter,4.7,Yes,Store Pickup,1.0,1.0,45.0,Venmo,Monthly,12.0,1.0,0.7375,0.8979591836734693,0.21568627450980393,0.8800000000000001,0.659389555822329,Medium Value
33.0,36.0,Male,Jacket,Outerwear,67.0,Kansas,M,Silver,Summer,4.9,Yes,Free Shipping,1.0,1.0,37.0,Venmo,Annually,1.0,1.0,0.5875,0.7346938775510203,0.0,0.9600000000000002,0.5073775510204082,Medium Value
